,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Summerside,CA,1573079611,75,45,46.39,-63.79,43.0,12.75
378,Taltal,CL,1573079612,1,82,-25.41,-70.49,55.62,3.4
379,Moratuwa,LK,1573079612,40,88,6.77,79.88,80.6,2.24
380,Moranbah,AU,1573079612,4,26,-22.0,148.04,81.84,1.95
381,Japura,ID,1573079612,47,84,-0.42,102.29,76.55,1.25
382,Kayes,ML,1573079612,0,54,14.44,-11.44,82.4,4.7
383,Jiujiang,CN,1573079612,98,52,29.73,115.99,61.97,6.69
384,Hobyo,SO,1573079612,23,82,5.35,48.53,79.02,5.59
385,Clyde River,CA,1573079612,90,92,70.47,-68.59,24.8,13.87
386,Hammerfest,NO,1573079612,26,85,70.66,23.68,30.2,5.82
387,Boysun,UZ,1573079612,0,60,38.2,67.2,37.94,1.1
388,La Palma,CO,1573079613,100,95,5.36,-74.39,71.96,1.19
389,Angoche,MZ,1573079613,1,93,-16.23,39.91,72.84,2.42
390,Sao Joao da Barra,BR,1573079613,75,78,-21.64,-41.05,77.0,20.8
391,Ambilobe,MG,1573079613,100,68,-13.19,49.05,78.91,12.35
392,Luwuk,ID,1573079613,58,68,-0.95,122.79,81.77,11.25
393,Punto Fijo,VE,1573079613,40,77,11.69,-70.21,82.4,23.6
394,Cayenne,GF,1573079555,75,100,4.94,-52.33,77.0,4.7
395,Melilla,EC,1573079613,20,69,-0.8,-80.23,77.0,12.75
396,Petropavlovsk-Kamchatskiy,RU,1573079613,68,100,53.05,158.65,30.2,2.24
397,Bonavista,CA,1573079613,83,86,48.65,-53.11,53.01,17.0
398,Hazorasp,UZ,1573079613,0,46,41.32,61.08,32.0,4.7
399,Glens Falls,US,1573079438,1,41,43.31,-73.64,44.01,5.82
400,Hadejia,NG,1573079614,14,19,12.45,10.04,79.34,4.94
401,Tezu,IN,1573079614,4,59,27.93,96.16,62.46,2.57
402,Sarangani,PH,1573079614,100,70,5.4,125.46,83.97,16.11
403,Moville,US,1573079614,40,86,42.49,-96.07,28.4,18.34
404,Okato,NZ,1573079614,45,62,-39.19,173.88,68.0,11.99
405,Palana,RU,1573079614,73,81,59.08,159.95,34.3,3.15
406,Mezen,RU,1573079614,47,90,65.85,44.24,18.21,4.9
407,Biak,ID,1573079614,58,68,-0.91,122.88,81.77,11.25
408,Bathurst,AU,1573079475,0,55,-33.42,149.58,55.99,3.0
409,Pasir Gudang,MY,1573079614,75,88,1.46,103.88,84.2,1.12
410,Carauari,BR,1573079614,64,96,-4.88,-66.9,75.36,3.38
411,Venado Tuerto,AR,1573079614,30,43,-33.75,-61.97,75.99,6.73
412,Ust-Omchug,RU,1573079615,100,94,61.13,149.63,7.83,12.82
413,Nome,US,1573079601,1,47,30.04,-94.42,78.8,6.93
414,Vestmannaeyjar,IS,1573079601,100,78,63.44,-20.27,39.52,14.29
415,Luganville,VU,1573079565,75,78,-15.51,167.18,82.4,1.12
416,Smithers,CA,1573079504,90,87,54.78,-127.17,32.0,6.93
417,Ruteng,ID,1573079615,14,47,-8.61,120.46,82.63,0.67
418,Eydhafushi,MV,1573079615,84,76,5.1,73.07,82.2,10.33
419,Riyadh,SA,1573079346,100,43,24.63,46.72,69.8,2.24
420,Lanzhou,CN,1573079616,40,93,36.06,103.82,35.6,4.47
421,La Rioja,AR,1573079616,21,62,-29.41,-66.86,66.99,3.96
422,Carinhanha,BR,1573079616,41,38,-14.3,-43.77,82.27,2.55
423,Bahia de Caraquez,EC,1573079616,20,69,-0.6,-80.42,77.0,12.75
424,Danshui,CN,1573079616,28,56,22.81,114.46,72.0,11.18
425,Ahipara,NZ,1573079616,0,74,-35.17,173.16,79.0,1.01
426,Arman,RU,1573079616,100,95,59.7,150.17,30.33,28.9
427,Nhulunbuy,AU,1573079616,40,62,-12.18,136.78,84.2,13.87
428,Barkly West,ZA,1573079616,32,56,-28.54,24.52,69.8,4.7
429,La Tuque,CA,1573079437,90,75,47.44,-72.79,26.15,4.97
430,Pedernales,EC,1573079616,96,88,0.07,-80.05,72.82,5.66
431,Port Augusta,AU,1573079616,90,55,-32.49,137.76,60.8,9.17
432,Nipawin,CA,1573079616,75,78,53.36,-104.02,14.0,6.93
433,Robertsport,LR,1573079617,0,81,6.75,-11.37,81.1,10.89
434,Honningsvag,NO,1573079617,40,86,70.98,25.97,28.4,2.24
435,Balabac,PH,1573079617,100,76,7.99,117.06,82.26,19.24
436,Verkhnedneprovskiy,RU,1573079617,100,91,54.98,33.35,42.39,8.75
437,Genc,TR,1573079617,0,40,38.75,40.56,48.79,5.12
438,Nyaunglebin,MM,1573079617,99,94,17.95,96.73,72.48,2.39
439,Nizhnevartovsk,RU,1573079617,90,99,60.93,76.58,32.0,11.18
440,Barrie,CA,1573079617,90,90,44.38,-79.7,35.01,9.51
441,Rocha,UY,1573079617,63,78,-34.48,-54.34,59.41,5.7
442,Sorland,NO,1573079617,0,52,67.67,12.69,34.63,9.71
443,Emerald,AU,1573079618,5,47,-23.53,148.16,75.2,8.05
444,Pampas,PE,1573079618,99,84,-12.4,-74.87,46.38,3.78
445,Adrar,DZ,1573079618,0,34,27.87,-0.29,66.2,18.34
446,Rivera,UY,1573079618,1,76,-30.9,-55.54,59.36,6.78
447,Beringovskiy,RU,1573079618,35,89,63.05,179.32,28.72,13.11
448,Lavrentiya,RU,1573079618,2,81,65.58,-170.99,27.48,14.16
449,Bowen,AU,1573079618,1,61,-20.01,148.25,80.01,3.36
450,Sarankhola,BD,1573079618,92,77,22.31,89.79,68.09,5.41
451,Kargat,RU,1573079618,99,68,55.19,80.28,31.84,18.52
452,Waipawa,NZ,1573079619,100,44,-39.94,176.59,79.02,1.68
453,Warmbad,DE,1573079619,75,93,50.67,13.08,46.99,3.36
454,Chimbote,PE,1573079619,0,83,-9.08,-78.59,62.53,5.97
455,Westport,US,1573079442,1,37,41.14,-73.36,53.6,4.7
456,Ust-Tsilma,RU,1573079619,97,97,65.44,52.15,10.26,3.51
457,Mao,DO,1573079619,40,74,19.55,-71.08,84.2,6.93
458,Rovaniemi,FI,1573079619,87,85,66.5,25.72,12.2,9.17
459,Verkhnevilyuysk,RU,1573079619,40,92,63.45,120.31,-6.65,3.4
460,Zuenoula,CI,1573079619,0,80,7.43,-6.04,74.34,3.49
461,Rangpo,IN,1573079619,1,80,27.17,88.53,58.3,5.3
462,Sola,TZ,1573079614,45,71,-3.17,33.8,70.43,4.32
463,Rio Gallegos,AR,1573079620,75,36,-51.62,-69.22,48.2,38.03
464,Tullamore,AU,1573079620,0,28,-32.63,147.57,70.02,9.28
465,Limpapa,PH,1573079620,75,88,7.12,121.91,78.8,4.23
466,Tucuman,PE,1573079620,45,58,-17.17,-70.89,55.54,1.59
467,Lata,IN,1573079620,1,46,30.78,78.62,22.69,2.04
468,Sinjar,SY,1573079620,0,55,35.59,37.0,63.09,4.32
469,Awbari,LY,1573079620,6,24,26.59,12.77,72.01,1.45
470,Havre-Saint-Pierre,CA,1573079620,90,69,50.23,-63.6,33.8,36.91
471,Miles City,US,1573079620,90,61,46.41,-105.84,21.99,3.56
472,Ostrovnoy,RU,1573079620,98,89,68.05,39.51,20.73,4.23
473,Siilinjarvi,FI,1573079620,90,92,63.08,27.67,14.0,4.7
474,Dawei,MM,1573079621,53,73,14.07,98.19,81.93,11.23
475,Caxito,BR,1573079621,75,78,-22.65,-42.51,75.2,9.17
476,Stokmarknes,NO,1573079621,0,79,68.56,14.91,21.2,6.93
477,Ulladulla,AU,1573079621,20,26,-35.36,150.48,69.8,21.92
478,Otavi,NA,1573079621,34,40,-19.64,17.34,73.72,9.6
479,Belmonte,PT,1573079621,92,97,40.36,-7.35,57.99,1.99
480,Ierapetra,GR,1573079621,8,73,35.01,25.74,71.6,19.46
481,Rognan,NO,1573079621,20,73,67.1,15.4,26.01,17.22
482,Jalu,LY,1573079621,0,35,29.03,21.55,70.45,12.73
483,Malmyzh,RU,1573079621,100,93,56.52,50.68,47.98,14.54
484,Veere,NL,1573079621,90,100,51.55,3.67,46.99,2.24
485,Antipolo,PH,1573079621,75,88,14.59,121.18,79.0,4.7
486,Christchurch,NZ,1573079621,100,64,-43.53,172.64,79.0,8.05
487,San Jeronimo,PE,1573079622,87,91,-13.65,-73.37,50.5,2.73
488,Edea,CM,1573079622,75,94,3.8,10.13,78.8,2.24
489,Olinda,AU,1573079622,90,58,-37.84,145.39,57.99,20.8
490,Bara,NG,1573079622,0,38,10.41,10.6,75.92,1.36
491,Lima,PE,1573079622,40,77,-12.06,-77.04,66.2,9.17
492,Jatibarang,ID,1573079622,83,58,-6.47,108.3,81.16,5.64
493,Rawson,AR,1573079547,100,37,-43.3,-65.11,60.93,27.38
494,Doha,QA,1573079337,0,57,25.29,51.53,78.8,6.93
495,San Quintin,PH,1573079622,97,88,17.54,120.52,76.55,3.71
496,Malinovskiy,RU,1573079622,100,89,54.15,34.53,43.83,8.34
497,Kabinda,CD,1573079622,75,91,-6.14,24.49,68.2,1.05
498,Torbay,CA,1573079622,90,100,47.66,-52.73,55.0,25.28
499,Chilliwack,CA,1573079622,75,38,49.17,-121.95,62.6,9.17
500,Shitanjing,CN,1573079623,83,52,39.23,106.34,46.0,1.99
501,Sarishabari,BD,1573079623,97,75,24.75,89.83,68.61,4.59
502,Gorin,BF,1573079623,0,27,12.34,-0.67,85.57,4.72
503,Anloga,GH,1573079623,40,83,5.79,0.9,82.4,6.93
504,Deputatskiy,RU,1573079623,100,96,69.3,139.9,-1.02,3.53
505,Izhma,RU,1573079623,99,97,65.01,53.91,11.84,4.52
506,Hay River,CA,1573079623,75,72,60.82,-115.79,15.8,9.17
507,Yabrud,SY,1573079623,0,54,33.97,36.66,55.99,8.05
508,Alginet,ES,1573079623,0,47,39.27,-0.47,62.01,9.17
509,Paamiut,GL,1573079623,17,45,61.99,-49.67,28.89,10.87
510,Srandakan,ID,1573079623,86,76,-7.94,110.25,76.28,2.82
511,Karpathos,GR,1573079623,0,81,35.51,27.21,70.83,13.06
512,Ancud,CL,1573079623,100,84,-41.87,-73.83,49.26,6.76
513,Shubarshi,KZ,1573079624,53,77,48.59,57.19,27.81,10.36
514,Marawi,PH,1573079624,100,87,8.0,124.29,75.99,5.01
515,Rock Sound,BS,1573079624,94,83,24.9,-76.2,79.65,18.07
516,Weinan,CN,1573079624,90,100,34.5,109.46,54.0,2.24
517,Honolulu,US,1573079408,75,58,21.3,-157.86,84.99,12.75
518,Juneau,US,1573079444,90,86,58.3,-134.42,39.0,3.36
519,Faanui,PF,1573079624,2,81,-16.48,-151.75,80.91,16.78
520,Lulea,SE,1573079624,90,92,65.58,22.15,15.8,5.82
521,Aklavik,CA,1573079624,90,71,68.22,-135.01,15.8,4.7
522,Naraura,IN,1573079624,97,40,28.2,78.38,71.62,6.35
523,Salalah,OM,1573079624,1,73,17.01,54.1,77.0,3.36
524,Nyzhni Sirohozy,UA,1573079624,81,93,46.85,34.38,56.91,9.64
525,Half Moon Bay,US,1573079624,90,87,37.46,-122.43,77.0,12.75
526,Beitbridge,ZA,1573079625,0,42,-22.21,29.99,73.58,12.53
527,Le Vauclin,MQ,1573079625,4,83,14.55,-60.84,82.4,8.05
528,Barra do Garcas,BR,1573079625,75,55,-15.89,-52.26,87.8,8.05
529,Burbach,DE,1573079625,75,93,49.24,6.95,48.99,11.41
530,Atar,MR,1573079625,14,35,20.52,-13.05,68.61,8.21
531,Jardinopolis,BR,1573079625,21,58,-21.02,-47.76,82.4,11.41
532,Wonthaggi,AU,1573079625,100,72,-38.6,145.59,57.0,19.37
533,Danielskuil,ZA,1573079625,1,26,-28.19,23.54,57.18,4.83
534,Vestmanna,FO,1573079625,69,75,62.16,-7.17,35.6,2.24
535,Husavik,CA,1573079625,58,53,50.56,-96.99,18.0,7.0
536,Mana,NG,1573079626,2,24,13.03,5.27,79.09,3.67
537,Seddon,AU,1573079626,90,58,-37.81,144.89,59.0,20.8
538,Yumen,CN,1573079626,0,52,40.29,97.04,36.99,15.48
539,Hami,CN,1573079626,31,30,42.84,93.51,46.85,5.93
540,Mackenzie,CA,1573079626,90,62,55.34,-123.09,24.8,5.82
541,Porbandar,IN,1573079626,100,69,21.64,69.61,81.0,13.98
542,Munak,IN,1573079626,73,46,29.52,76.85,69.03,6.44
543,Pacific Grove,US,1573079504,1,67,36.62,-121.92,75.99,10.29
544,Todos Santos,MX,1573079626,75,69,23.45,-110.23,86.0,4.7
545,Naze,NG,1573079627,40,94,5.43,7.07,77.0,3.67
546,Narimanov,RU,1573079627,75,87,46.69,47.85,51.8,4.47
547,Coihaique,CL,1573079627,75,91,-45.58,-72.07,46.4,4.7
548,Haines Junction,CA,1573079627,100,93,60.75,-137.51,29.21,6.85
549,Aloleng,PH,1573079627,100,90,16.13,119.78,76.08,3.13
550,Arkhangelsk,RU,1573079627,90,92,64.54,40.54,19.4,2.57
